video_id,title,published
t7TdsolW2cs,[천공 정법]13552강 법률혼의 필요성,2025-01-30
K31FVScoLqk,[천공 정법]13551강 MZ 공무원의 퇴사 증가,2025-01-29
XgjYZMs_a_o,[천공 정법]13550강 연예인의 정치적 발언,2025-01-28
nD8lxbCTf7A,[천공 정법]13549강 무안공항 비행기 사고(2_2),2025-01-27
W0UzVSuJCqA,[천공 정법]13548강 무안공항 비행기 사고(1_2),2025-01-26
8B3xydLYcmk,[천공 정법]13547강 친밀함 속에서도 선을 지키는 지혜,2025-01-25
-6-J3YlBvHw,[천공 정법]13546강 결혼을 꼭 해야 하는지,2025-01-24
4-DM8s-0X38,[천공 정법]13545강 집회에 참여하는 정법가족의 자세,2025-01-23
2QCgBKpGq6I,[천공 정법]13544강 이렇게 가다가는 나라가 넘어질 것 같다(2_2),2025-01-22
19m8m08leds,[천공 정법]13543강 이렇게 가다가는 나라가 넘어질 것 같다(1_2),2025-01-21
bU0TqADBSqE,[천공 정법]13542강 파워 시니어의 역량 활용,2025-01-20
qVbdht9X4Iw,"[천공 정법]13541강 2025 트렌드, 원포인트업(One Point Up)(2_2)",2025-01-19
zxG3zU4NS3Y,"[천공 정법]13540강 2025 트랜드, 원포인트업(One Point Up)(1_2)",2025-01-18
GKwZ_ZE-BN8,[천공 정법]13539강 청소년 SNS 규제방안,2025-01-17
wGKjHnogyaw,[천공 정법]13538강 종교단체의 사회복지 구현(2_2),2025-01-16
bZdFIoPLea0,[천공 정법]13537강 종교단체의 사회복지 구현(1_2),2025-01-15
1EcRVDmfyu8,[천공 정법]13536강 방송의 역할(2_2),2025-01-14
MAskzrRCbUU,[천공 정법]13535강 방송의 역할(1_2),2025-01-13
EvAXonET8zk,[신청공지] 2024 동안거 6회차 공부 참가 신청 안내📝(2025년 1월 20일까지 신청하세요!),2025-01-13
5H3KP9mjRvs,[천공 정법]13534강 기업인의 역할,2025-01-12
DdJzaqRL6xY,[천공 정법]13533강 청년의 역할,2025-01-11
oNTuQIxjNvk,"[천공 정법]13532강 종교계, 대학 교수의 역할(2_2)",2025-01-10
3c81CpKnQI4,"[천공 정법]13531강 종교계, 대학 교수의 역할(1_2)",2025-01-09
o05cYaQag4I,[천공 정법]13530강 국회 해산 국민저항운동,2025-01-08
D6S9gY65hpw,"[천공 정법]13529강 지금 대한민국 국회, 이대로 좋은가?(3_3)",2025-01-07
3beb5STdADI,"[천공 정법]13528강 지금 대한민국 국회, 이대로 좋은가?(2_3)",2025-01-06
Dupg7fifskU,"[천공 정법]13527강 지금 대한민국 국회, 이대로 좋은가?(1_3)",2025-01-05
Jd7kmQLDHV0,[천공 정법]13526강 자살 제로 프로젝트와 사회부모 역할(3_3),2025-01-04
Za-oouvn4Q8,[천공 정법]13525강 자살 제로 프로젝트와 사회부모 역할(2_3),2025-01-03
Pm851tip8zM,[천공 정법]13524강 자살 제로 프로젝트와 사회부모 역할(1_3),2025-01-02
yQHjwF74CkE,[천공 정법]13523강 2025년 새해를 맞이하는 우리의 자세,2025-01-01
4xwkzCDFavE,[천공 정법]13522강 공무원 호봉제,2024-12-31
u6T59O8EUMk,[천공 정법]13521강 마사지와 기운 교류,2024-12-30
NPpFLDJWxIU,"[천공 정법]13520강 디지털화 시대, ‘뇌 썩음’ 문제의 해결책",2024-12-29
lSD78TNhzcY,[천공 정법]13519강 자식이 근무하는 회사로 전화하는 부모,2024-12-28
hPk4O06-qKg,[천공 정법]13518강 광장의 신패러다임,2024-12-27
k9v9LGjUd2Y,[천공 정법]13517강 꿈을 꾸는 이유,2024-12-26
2YMCKmb3VkY,[천공 정법]13516강 퇴직 후 복귀했는데 일을 하기 싫어졌다,2024-12-25
vRmRT1XLFIo,"[천공 정법]13515강 몰려드는 외국인, 한국을 떠나는 한국인",2024-12-24
4uns-5zrJd0,[천공 정법]13514강 종교단체 면세 혜택의 정당성(3_3),2024-12-23
YNCcaShNpi8,[천공 정법]13513강 종교단체 면세 혜택의 정당성(2_3),2024-12-22
bqv-TqPGKI0,[천공 정법]13512강 종교단체 면세 혜택의 정당성(1_3),2024-12-21
zdXVr_UPCo4,[천공 정법]13511강 주52시간 근로제 완화 필요성,2024-12-20
y1q2dEXH8do,[천공 정법]13510강 왜 기업이 국민의 대표인가?(2_2),2024-12-19
OHFqKF0Fzm4,[천공 정법]13509강 왜 기업이 국민의 대표인가?(1_2),2024-12-18
IK-Rp5GwEqA,[천공 정법]13508강 尹 대통령 탄핵 소추안 가결,2024-12-17
2IOdyAZr61Y,[천공 정법]13507강 품격있는 사회,2024-12-16
5iPaWeaTfng,[천공 정법]13506강 양당 구도의 한계,2024-12-15
nMgh10M8sHU,"[천공 정법]13505강 트럼프, 한국 조선업에 도움 요청",2024-12-14
o0xDwwFvMes,[천공 정법]13504강 계엄령 - 독재와 민주주의,2024-12-13
SyqhmAqxQT8,[천공 정법]13503강 병 하나를 고치니 더 큰 병이 왔다(2_2),2024-12-12
OiyoPDQ3Z_c,[천공 정법]13502강 병 하나를 고치니 더 큰 병이 왔다(1_2),2024-12-11
55DdmrlUkag,[천공 정법]13501강 기대감에 대한 바른 이해,2024-12-10
TXxq6I7kxWs,[천공 정법]13500강 좋은 조건의 남성들로부터의 유혹,2024-12-09
JqaD6cpzlcA,[천공 정법]13499강 흔들림 없이 공부하는 자세,2024-12-08
2yiUTa3R6T8,[천공 정법]13498강 법문 중 머리에 기운이 들어온다,2024-12-07
-yup67bhBuo,[천공 정법]13497강 꿈에서 어머니가 나에게 치매에 걸릴 거라고 했다,2024-12-06
l5AkICii5eg,[천공 정법]13496강 이혼 후 가게를 정리한 비용으로 공부하고 싶다,2024-12-05
1sCK51N6ILE,[천공 정법]13495강 저평가 받는 미국의 건국 이념과 가치,2024-12-04
1Frr6n8u0UA,[천공 정법]13494강 대한민국 기업의 총체적 위기 해결법(3_3),2024-12-03
gaSGrvtI8-A,[천공 정법]13493강 대한민국 기업의 총체적 위기 해결법(2_3),2024-12-02
-Ga5ih-AP8Y,[천공 정법]13492강 대한민국 기업의 총체적 위기 해결법(1_3),2024-12-01
EU59-p3gWVw,[천공 정법]13491강 연예인의 역할과 미래,2024-11-30
gzL7i6qPnp0,[천공 정법]13490강 50대 전후 호르몬 변화에 따른 사회적 역할의 변화,2024-11-29
NwDCGxGDsek,[천공 정법]13489강 2차 베이비부머 세대의 은퇴 쓰나미(2_2),2024-11-28
42k4srJ9XR8,[천공 정법]13488강 2차 베이비부머세대의 은퇴 쓰나미(1_2),2024-11-27
JosPwbX22dI,"[천공 정법]13487강 중남미 난민 규제의 딜레마, 해결 방안을 찾다(3_3)",2024-11-26
ea9LW7THoWk,"[천공 정법]13486강 중남미 난민 규제의 딜레마, 해결 방안을 찾다(2_3)",2024-11-25
6Ylr3KtdAK0,"[천공 정법]13485강 중남미 난민 규제의 딜레마, 해결 방안을 찾다(1_3)",2024-11-24
eUZavBg0W_0,[천공 정법]13484강 대화녹음이 일상이 된 사회(2_2),2024-11-23
BOlMAGqRRdQ,[천공 정법]13483강 대화녹음이 일상이 된 사회(1_2),2024-11-22
-BQHq_dR0cU,[천공 정법]13482강 러시아-우크라이나 전쟁에 북한군 파병,2024-11-21
BYo4SWKYoJs,[천공 정법]13481강 베이비부머세대의 부모 봉양과 자식 양육의 이중고,2024-11-20
ZV7BBz5jlb8,[천공 정법]13480강 어깨 통증과 파킨슨 증세,2024-11-19
nIwGR9tW-H8,[천공 정법]13479강 남매에게 온 종양과 집안 공부,2024-11-18
ZyZS1PFDh1k,[천공 정법]13478강 미국의 대마초 합법화,2024-11-17
gaW21EL2XCk,[천공 정법]13477강 법률인으로서의 균형적 생각,2024-11-16
4-d0d9Yz9tA,[천공 정법]13476강 자신과 팀을 발전시키기 위한 바른 방향,2024-11-15
ZLlSFT1gfbg,[천공 정법]13475강 외국인들과 동안거 공부를 잘하려면,2024-11-14
pnCa5T0t8yc,[천공 정법]13474강 LA가 아름다운 도시로 거듭날 수 있는 길,2024-11-13
paqCdhl5ujM,[천공 정법]13473강 폐암(3_3),2024-11-12
vsAgE03asqY,[천공 정법]13472강 폐암(2_3),2024-11-11
eZB5MlO0wss,[천공 정법]13471강 폐암(1_3),2024-11-10
pmUeA0NPOxg,[천공 정법]13470강 투쟁을 넘어 평화의 시대로 - 한반도의 미래,2024-11-09
9cb0PT09feA,[천공 정법]13469강 하느님이 인간을 만든 이유,2024-11-08
Zeit20wEsGU,[천공 정법]13468강 한국 사회의 정신 개혁,2024-11-07
jxtyenasIPE,"[천공 정법]13467강 남북의 사명, 인류평화시대를 열다(2_2)",2024-11-06
-960x-7JMac,"[천공 정법]13466강 남북의 사명, 인류평화시대를 열다(1_2)",2024-11-05
0f-VqmZTN-0,[천공 정법]13465강 인연의 죽음 이후 남은 가족의 공부,2024-11-04
BxZLUW-1egw,[천공 정법]13464강 디지털세대는 베이버부머세대의 깊이를 따라갈 수 없는지,2024-11-03
F9iJFK_w_mk,[천공 정법]13463강 여성들의 이중성 - 독립성과 의존성,2024-11-02
FADkKmgq-Po,[천공 정법]13462강 실버 강사의 바른 역할과 자세,2024-11-01
TOh5WBsMXhw,[천공 정법]13461강 10년 공부와 경제 환경,2024-10-31
yBqCM4IMD_8,[천공 정법]13460강 언어와 비언어적 소통의 조화,2024-10-30
kqgDH0og1iE,[천공 정법]13459강 소통을 말하지만 소통이 되지 않는 현실,2024-10-29
ruu5EQTt3LQ,[천공 정법]13458강 자원봉사활동의 혜택과 명분,2024-10-28
sHHfy5Rlikw,[천공 정법]13457강 우주의 운용 프로그램,2024-10-27
wvUpdhGXlLs,"[천공 정법]13456강 사주를 넘어, 내 인생을 빛나게 만드는 법",2024-10-26
PbDHxFZ6hnM,[천공 정법]13455강 예능 ‘흑백요리사’ 참가 셰프들의 영업 성공법,2024-10-25
jonDwrlCMu0,[천공 정법]13454강 결혼 가치 약화,2024-10-24
2g8oLxO10cE,[천공 정법]13453강 서울 한복판 폐교에 실버타운 건설,2024-10-23
zSi5ci5AKvQ,[천공 정법]13452강 부산 글로벌허브도시 특별법 추진,2024-10-22
ZuXKWY8z-no,[천공 정법]13451강 경제 불평등이 교육 불평등이 되는 사회,2024-10-21
cZj6rBgTONE,"[천공 정법]13450강 세계인이 선택한 한글 단어, 용기!(3_3)",2024-10-20
acIXAVcGL1I,"[천공 정법]13449강 세계인이 선택한 한글 단어, 용기!(2_3)",2024-10-19
R6D8lsi6Mw0,"[천공 정법]13448강 세계인이 선택한 한글 단어, 용기!(1_3)",2024-10-18
UVekD0QtAhc,[천공 정법]13447강 상여금을 지급하는 기준(2_2),2024-10-17
X_uL1aBlNXM,[천공 정법]13446강 상여금을 지급하는 기준(1_2),2024-10-16
4ex69bZ73Yg,[천공 정법]13445강 운동을 하는 환경의 변화,2024-10-15
X3W7bbo_sPU,[천공 정법]13444강 자연을 활용할 수 있는 방법이 있는지,2024-10-14
ynh3_MwriIc,[천공 정법]13443강 전 남편의 병간호를 해야 할까요?(4_4),2024-10-13
v4xrbi8zZIY,[천공 정법]13442강 전 남편의 병간호를 해야 할까요?(3_4),2024-10-12
_wkJejCMpFY,[천공 정법]13441강 전 남편의 병간호를 해야 할까요?(2_4),2024-10-11
BWQkuf-WkjU,[천공 정법]13440강 전 남편의 병간호를 해야 할까요?(1_4),2024-10-10
JtsotczVm5c,[천공 정법]13439강 욜로(YOLO)에서 요노(YONO)로,2024-10-09
JfqPT5U6R3w,[천공 정법]13438강 동네를 떠나라고 하는 것 같다,2024-10-08
d3f9dMJUX48,[천공 정법]13437강 태권도가 힘들다는 아이들을 과잉보호하는 부모,2024-10-07
3cF_dZjPzDk,[천공 정법]13436강 태권도를 통한 인성교육의 방향(2_2),2024-10-06
Frzzk1i0Na4,[천공 정법]13435강 태권도를 통한 인성교육의 방향(1_2),2024-10-06
EvAJEUl5ydU,[천공 정법]13434강 사회활동 중 이직과 사고가 계속 일어난다,2024-10-05
hKDlYVg-v2Q,[천공 정법]13433강 제품을 개발했지만 투자자를 만나지 못했다,2024-10-04
UneMqRALbOo,[천공 정법]13432강 같은 성씨 모임,2024-10-03
bS3BjoeJJgk,[천공 정법]13431강 가게를 내놓았는데 비방을 써도 되는지,2024-10-02
zFvMhj7JWoM,[천공 정법]13430강 지구에서 인간이 살아갈 수 있는 환경이 계속될지 걱정된다,2024-10-01
ZmGvmk81AYw,[천공 정법]13429강 미용실을 하는데 이동하고 싶다,2024-09-30
QBIYJxFMIZE,[천공 정법]13428강 부동산업을 계속 해도 될지,2024-09-29
5ZyTTEFB-38,[천공 정법]13427강 사람과의 관계로 상처를 입어 견디기가 어렵다,2024-09-28
U2bxoXrVjC4,[천공 정법]13426강 사회에 도움이 되고 싶다,2024-09-27
IzoXBFf_2XM,[천공 정법]13425강 사람들과 소통을 잘하고 싶다,2024-09-26
dTabRygHu4k,[천공 정법]13424강 부모 자식 인연의 끝은 어디까지인지,2024-09-25
6G4CKbKUvVU,[천공 정법]13423강 세상을 이롭게 하는 사람을 돕는 기업을 하고 싶다,2024-09-24
ak-QDbG9ZcQ,[천공 정법]13422강 '서운하다'는 말을 듣는 사람의 태도와 행동,2024-09-23
ey8WxTGrnPI,[천공 정법]13421강 속물근성,2024-09-22
xnCk_o_hrmk,[천공 정법]13420강 딥페이크와 한국 연예인 피해,2024-09-21
xOoDVtJALPQ,[천공 정법]13419강 이 시대 개천절의 의미(2_2),2024-09-20
7zULQd9g2Ro,[천공 정법]13418강 이 시대 개천절의 의미(1_2),2024-09-20
xdsbIrMj-EY,[천공 정법]13417강 군 중간 간부들의 이탈 현상,2024-09-19
b-tgXTO5SZ4,[천공 정법]13416강 부자들의 국외 탈출,2024-09-18
9PLVAN9zLdw,[천공 정법]13415강 세계 자살예방의 날을 맞이하여,2024-09-17
cYJ1FVlUC8E,[천공 정법]13414강 총기사고의 원인과 해결 방안,2024-09-16
wjdHiLR0GYo,[천공 정법]13413강 11월 미국 대선 이후의 나아갈 방향,2024-09-15
o9WwWC6JOsA,[천공 정법]13412강 간호법 국회 통과,2024-09-14
xbQW1Qzjj8k,[천공 정법]13411강 중국으로의 기술 유출,2024-09-13
QuHfhl9KUOU,[천공 정법]13410강 추석을 맞이하여,2024-09-12
5nuFNiNGMyI,[천공 정법]13409강 구름 사진을 많이 찍는다,2024-09-11
3bAen0t8FZQ,[천공 정법]13408강 꿈에서 호랑이가 품에 들어왔다,2024-09-10
as2duFHJQl0,[천공 정법]13407강 업을 갚는 기간,2024-09-09
VmqYApOuBQI,[천공 정법]13406강 부산 가덕도 신공항,2024-09-08
hh2pmSztGLo,[천공 정법]13405강 전라도 관광산업을 위한 목포 시민들의 마음가짐,2024-09-07
FPOVZSdiWFU,"[천공 정법]13404강 세계 민주 성지, 호남",2024-09-06
7dT4NKEFexk,[천공 정법]13403강 조건 없는 사랑은 과연 존재할 수 있는가?,2024-09-05
LiZ4jX5k6R8,[천공 정법]13402강 지천명 나이 간호사의 남은 공부,2024-09-04
GZAmy7UTtBU,[천공 정법]13401강 尹 대통령 ‘8.15 통일 독트린’ 발표,2024-09-03
XFziwEyxBUw,[천공 정법]13400강 영혼 질량 성장에 대한 욕구,2024-09-02
8v2-DBxR7b8,[천공 정법]13399강 자기 그릇에 대한 판단,2024-09-01
ko0GEE3jqD4,[천공 정법]13398강 대한민국 학생들의 국어 실력 하락,2024-08-31
QPvcUFOIrqU,[천공 정법]13397강 AI 반려로봇과 현대인들의 외로움 해소,2024-08-30
bhnqNjBnH6Y,"[천공 정법]13396강 칠월칠석, 솔로탈출",2024-08-29
VaHL0GMg2Kc,[천공 정법]13395강 인구감소 현상에 따른 지방도시 발전 방향,2024-08-28
gSKugfkJw9o,[천공 정법]13394강 그리스 정부의 주 6일제 행보,2024-08-27
J6CfC-Y51xM,[천공 정법]13393강 기업의 사회적 책임,2024-08-26
jxvGbEj-7e8,[천공 정법]13392강 사회 이념 통합(3_3),2024-08-25
C75VHYgsAbU,[천공 정법]13391강 사회 이념 통합(2_3),2024-08-24
NCcWKLbCl6c,[천공 정법]13390강 사회 이념 통합(1_3),2024-08-23
gDeKfHLzjiw,[천공 정법]13389강 주위에 도움이 되는 삶을 살려면,2024-08-22
TcVOyVx4eic,[천공 정법]13388강 정법과 치유기술의 융합,2024-08-21
XYtXxzbSIws,[천공 정법]13387강 유배와 이동수,2024-08-20
_GX8VXReI1E,[천공 정법]13386강 입양의 원리,2024-08-19
fKieVZhrwqk,[천공 정법]13385강 작은 일에도 쉽게 놀란다,2024-08-18
AfDjEYxgFPY,[천공 정법]13384강 삶의 길에 변고가 많다,2024-08-17
HTiZbzMBjqk,[천공 정법]13383강 공유지분권자의 상속인들과 협의가 되지 않아 임대를 할 수가 없다,2024-08-16
YUYHXlIs43M,[천공 정법]13382강 국제무대에서의 갈등에 대처하는 바른 소통법,2024-08-15
PtyaF_7y0uA,[천공 정법]13381강 올림픽 금메달리스트 안세영 선수의 외침,2024-08-14
JZcs96d8wis,[천공 정법]13379강 칠월칠석의 영향,2024-08-13
BwtfVcB-grg,[천공 정법]13378강 핵무기 보유국가 대한민국,2024-08-12
0NPSkMiiUCY,[천공 정법]13376강 요식업을 그만둔 후 앞길이 막막하다,2024-08-10
1XptePQM0qU,[천공 정법]13375강 이혼 후 혼인 무효화,2024-08-09
hEkkMo6OBQE,[천공 정법]13374강 채팅 상담을 하는데 감당이 안 된다,2024-08-08
1yI089jFliA,[천공 정법]13373강 다가오는 시대를 위한 우리의 노력과 공부,2024-08-07
Q476LlBo0hM,[천공 정법]13372강 이직률이 높은 외국인 노동자(2_2),2024-08-06
Jc6HOiNXR64,[천공 정법]13371강 이직률이 높은 외국인 노동자(1_2),2024-08-05
CCixcthzQGY,[천공 정법]13370강 국가의 기본소득 보장,2024-08-04
l1tjw2ZY9iw,[천공 정법]13369강 정법을 접목해서 타로 강의를 해도 되나요?,2024-08-03
zc317bOXXbg,[천공 정법]13368강 남은 50대를 잘 보내려면,2024-08-02
VSbth9s68bw,[천공 정법]13367강 정법공부를 하는 과정에서 오는 변화,2024-08-01
nW3fyWztXMY,[천공 정법]13366강 혼자 가게 운영하는 것이 어렵다,2024-07-31
jLACGxufJdk,[천공 정법]13365강 약도가 들어온 것을 어떻게 이해해야 하는지,2024-07-30
6E4wPn5nVF4,[천공 정법]13364강 상상력의 힘,2024-07-29
HZF0M39ZylE,[천공 정법]13363강 '철이 든다'의 의미(3_3),2024-07-28
5QiF86WC8rs,[천공 정법]13362강 '철이 든다'의 의미(2_3),2024-07-27
OOQXKkAFGcE,[천공 정법]13361강 '철이 든다'의 의미(1_3),2024-07-26
QwSH8CYG3MU,[천공 정법]13360강 홍익인간지도자의 미래,2024-07-25
c7pzmud6rV4,[천공 정법]13359강 구독자 10만 돌파의 의미와 정법가족들의 마음가짐,2024-07-24
APDKDvpyKbM,[천공 정법]13358강 외국인 근로자를 대하는 우리의 자세(2_2),2024-07-23
LrA_9YQTzUc,[천공 정법]13357강 외국인 근로자를 대하는 우리의 자세(1_2),2024-07-22
RjfdjZ2piZE,[천공 정법]13356강 '친족상도례' 헌법불합치 결정(3_3),2024-07-21
zlsISdvGdAw,[천공 정법]13355강 '친족상도례' 헌법불합치 결정(2_3),2024-07-20
-3KNXksGV5E,[천공 정법]13354강 '친족상도례' 헌법불합치 결정(1_3),2024-07-19
wiHuucLf_yU,[천공 정법]13353강 대통령으로 출마할 수 있는 나이대(2_2),2024-07-18
QTu7P_pnATI,[천공 정법]13352강 대통령으로 출마할 수 있는 나이대(1_2),2024-07-17
q0NSQa6UaUE,[천공 정법]13351강 아름다운 대통령의 말로를 위한 노력(2_2),2024-07-16
kINLEUkO87w,[천공 정법]13350강 아름다운 대통령의 말로를 위한 노력(1_2),2024-07-15
